ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Norte,TO,1715101,Interior,Estadual,Urbana,140.931645,246.916349,Masculino,Parda,Janeiro,2003,"Sim, três","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3502804,Interior,Estadual,Urbana,306.405607,276.027756,Feminino,Branca,Dezembro,2003,"Sim, um",Não sei,Completou a Faculdade,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,ES,3200805,Interior,Municipal,Urbana,161.698096,178.824347,Feminino,Preta,Dezembro,1998 ou antes,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Nunca estudou,Mais de 3 horas,Mais de 3 horas,Não,Ainda não sei
2017,Nordeste,RN,2402303,Interior,Estadual,Urbana,330.763044,345.994387,Masculino,Branca,Novembro,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3149309,Interior,Estadual,Urbana,325.70393,308.247447,Feminino,Indígena,Janeiro,2003,"Sim, um",Completou a Faculdade,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Centro-Oeste,GO,5206206,Interior,Municipal,Urbana,200.16869,183.62505,NA,Parda,Agosto,1999,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,NA,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Sudeste,MG,3124104,Interior,Estadual,Rural,221.939328,247.368853,Feminino,Branca,Novembro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Somente continuar estudando
2017,Norte,TO,1718204,Interior,Estadual,Urbana,329.950417,321.659873,Masculino,Parda,Janeiro,2003,"Sim, um",NA,"Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,DF,5300108,Capital,Estadual,Urbana,254.67013,201.762558,Feminino,Branca,Julho,2000,"Sim, três",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Sul,PR,4106902,Capital,Estadual,Urbana,164.588404,290.260458,Masculino,Não quero declarar,Agosto,2002,"Sim, quatro ou mais",Completou a Faculdade,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",NA,NA,NA,Continuar estudando e trabalhar
2017,Nordeste,AL,2702306,Interior,Municipal,Urbana,268.958428,199.940356,Feminino,Preta,Novembro,2002,"Sim, dois",Não sei,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3536604,Interior,Estadual,Urbana,314.551767,306.745732,Feminino,Parda,Outubro,2003,"Sim, um",Não sei,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,218.168959,255.167118,Masculino,Preta,Setembro,2003,Não tem,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3136702,Interior,Estadual,Urbana,210.392641,226.194492,Masculino,Preta,Setembro,1999,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,MT,5106240,Interior,Municipal,Rural,194.833779,233.454346,Feminino,Parda,Agosto,2003,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Centro-Oeste,MS,5006606,Interior,Municipal,Urbana,260.054624,260.814367,Masculino,Parda,Outubro,2001,Não tem,Não sei,NA,NA,NA,NA,NA
2017,Nordeste,BA,2921302,Interior,Municipal,Urbana,260.437413,251.274329,Masculino,Preta,Maio,2000,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
